id,house,electoral_name,civil_name,party,state,twitter,facebook
5540,senado,FERNANDO BEZERRA COELHO,FERNANDO BEZERRA COELHO,MDB,PE,fbezerracoelho,NA
4525,senado,FERNANDO COLLOR,FERNANDO COLLOR,PROS,AL,Collor,NA
345,senado,FLÁVIO ARNS,FLÁVIO ARNS,REDE,PR,ArnsFlavio,https://www.facebook.com/flavioarns/
5894,senado,FLÁVIO BOLSONARO,FLÁVIO BOLSONARO,PSL,RJ,FlavioBolsonaro,NA
5008,senado,HUMBERTO COSTA,HUMBERTO COSTA,PT,PE,senadorhumberto,NA
5385,senado,IRAJÁ,IRAJÁ,PSD,TO,iraja555,NA
4770,senado,IZALCI LUCAS,IZALCI LUCAS,PSDB,DF,IzalciLucas,https://www.facebook.com/izalci/
35,senado,JADER BARBALHO,JADER BARBALHO,MDB,PA,jader_barbalho,NA
581,senado,JAQUES WAGNER,JAQUES WAGNER,PT,BA,jaqueswagner,NA
4545,senado,JARBAS VASCONCELOS,JARBAS VASCONCELOS,MDB,PE,Jarbas156,NA
4531,senado,JAYME CAMPOS,JAYME CAMPOS,DEM,MT,NA,https://www.facebook.com/jayme.campos/
5627,senado,JEAN PAUL PRATES,JEAN PAUL PRATES,PT,RN,jpprates,NA
5895,senado,JORGE KAJURU,JORGE KAJURU,PSB,GO,SenadorKajuru,https://www.facebook.com/kajurugoias/
5350,senado,JORGINHO MELLO,JORGINHO MELLO,PR,SC,jorginhomello,NA
3361,senado,JOSÉ MARANHÃO,JOSÉ MARANHÃO,MDB,PB,josemaranhaopb,NA
90,senado,JOSÉ SERRA,JOSÉ SERRA,PSDB,SP,joseserra_,NA
1249,senado,KÁTIA ABREU,KÁTIA ABREU,PDT,TO,KatiaAbreu,NA
5533,senado,LASIER MARTINS,LASIER MARTINS,PODE,RS,lasiermartins,NA
5979,senado,LEILA BARROS,LEILA BARROS,PSB,DF,leiladovolei,NA
5926,senado,LUCAS BARRETO,LUCAS BARRETO,PSD,AP,LucasBarreto_AP,NA
1186,senado,LUIS CARLOS HEINZE,LUIS CARLOS HEINZE,PP,RS,SenadorHeinze,https://www.facebook.com/SenadorHeinze/
5585,senado,LUIZ DO CARMO,LUIZ DO CARMO,MDB,GO,_luizdocarmo,NA
5557,senado,MAILZA GOMES,MAILZA GOMES,PP,AC,MailzaGomes,NA
5666,senado,MAJOR OLIMPIO,MAJOR OLIMPIO,PSL,SP,majorolimpio,NA
5376,senado,MARA GABRILLI,MARA GABRILLI,PSDB,SP,maragabrilli,NA
742,senado,MARCELO CASTRO,MARCELO CASTRO,MDB,PI,MarceloCastroPI,NA
285,senado,MARCIO BITTAR,MARCIO BITTAR,MDB,AC,marciombittar,NA
5942,senado,MARCOS DO VAL,MARCOS DO VAL,PPS,ES,marcosdoval,NA
